SUBE_KODU;SUBE_KODU_org;SUBE_ADI;BOLGE;IL_KODU;IL_ADI;SUBE_AKTIF_KOD;ILCE_KODU;ILCE_ISMI;SUBE_ADRES;KAPANIS_TARIHI;ACILIS_TAR
1000;2110;YILDIZ-ANKARA;BAŞKENT-1           ;6;ANKARA                                            ;A;602;ÇANKAYA;Turan Güneş Bulvarı No:60/A Çankaya/Ankara;NULL;2002-01-03 00:00:00.000
1005;9330;ULUS ANKARA;BAŞKENT-2           ;6;ANKARA                                            ;A;601;ALTINDAĞ;Sanayi Cad. No:13/A Ulus-Altındağ/Ankara;NULL;1999-08-03 00:00:00.000
1010;1010;ÖZEL BANKACILIK MERKEZİ AVRUPA 3;ÖZEL BANKACILIK     ;34;İSTANBUL                                          ;P;3426;AVCILAR;Cihangir Mah. Gülistan Sok. No:1 Avcılar/İstanbul;10.06.2020 00:00;2008-04-03 00:00:00.000
1015;3245;KOCATEPE;BAŞKENT-2           ;3;AFYON                                             ;A;300;AFYON;Dumlupınar Mah. Kadınana Cad. Gök Apt. Sit. No: 81 A / A Merkez/Afyonkarahisar;NULL;2018-03-01 00:00:00.000
1020;1020;ÖZEL BANKACILIK MERKEZİ AVRUPA 2;ÖZEL BANKACILIK     ;34;İSTANBUL                                          ;P;3402;BAKIRKÖY;İncirli Cad. Kıbrıs Sok. No:28 K.3-4  Bakırköy-İstanbul;17.01.2018 00:00;2008-04-09 00:00:00.000
1025;9930;ALTUNİZADE;İSTANBUL ANADOLU    ;34;İSTANBUL                                          ;A;3414;ÜSKÜDAR;Altunizade Mahallesi Kısıklı Caddesi No:4/1B Üsküdar/İstanbul;NULL;2002-01-03 00:00:00.000
1030;1030;VATAN CADDESİ TİCARİ MERKEZ;AVRUPA-2            ;34;İSTANBUL                                          ;P;3408;FATİH;Akşemsettin Mahallesi Akdeniz Cad. No : 94/3 Fatih / İstanbul;03.12.2015 00:00;2008-08-08 00:00:00.000
1035;1945;BALIKESİR AKINCILAR;TRAKYA              ;10;BALIKESİR                                         ;A;1000;BALIKESİR;Akıncılar Mah. Yalkır Cad. No:18/A  Balıkesir;NULL;2013-09-27 00:00:00.000
1040;9770;ZEYTİNBURNU;AVRUPA-1            ;34;İSTANBUL                                          ;A;3415;ZEYTİNBURNU;58. Bulvar Cad.No:55 Zeytinburnu/İstanbul;NULL;2002-01-03 00:00:00.000
1050;5555;SAMSUN BÜYÜK İŞLETMELER;KARADENİZ           ;55;SAMSUN                                            ;A;5517;İLKADIM;Kale Mahallesi Kaptanağa Sokak No:4B İç Kapı No:2 İlkadım/Samsun;NULL;2023-06-19 00:00:00.000
1054;9950;SİVAS;KARADENİZ           ;58;SİVAS                                             ;A;5800;SİVAS;Örtülüpınar Mahallesi İhramcızade Sokak Anadolu Çelik Apt. No:5A Merkez/Sivas;NULL;2002-01-02 00:00:00.000
1055;1465;UNCALI;AKDENİZ             ;7;ANTALYA                                           ;A;718;KONYAALTI;Uncalı Mahallesi Uncalı Caddesi Flora 1 Sitesi A Blok 69/C Konyaaltı/ANTALYA;NULL;2013-05-21 00:00:00.000
1060;1940;BİLECİK;MARMARA             ;11;BİLECİK                                           ;A;1100;BİLECİK;Atatürk Bulvarı No:28/1 Bilecik;NULL;2009-11-04 00:00:00.000
1065;4460;ÇARŞAMBA;KARADENİZ           ;55;SAMSUN                                            ;A;5503;ÇARŞAMBA;Orta Mah. Stadyum Caddesi No:6-10 Çarşamba/Samsun;NULL;2007-11-30 00:00:00.000
1070;1630;AKŞEHİR;BAŞKENT-2           ;42;KONYA                                             ;A;4201;AKŞEHİR;Meydan Mah. İnönü Cad. Kalın Çimen Apt. Sitesi No:88A Akşehir/Konya;NULL;2009-09-17 00:00:00.000
1075;3000;ANAMUR;ÇUKUROVA            ;33;İÇEL                                              ;A;3301;ANAMUR;Saray Mah. Bankalr Cad. Dnzbnk Sitesi Güven Moblya No:34 İç K. N:1 Anamur/Mersin;NULL;2004-06-09 00:00:00.000
1080;9270;ATRIUM;AVRUPA-2            ;34;İSTANBUL                                          ;A;3402;BAKIRKÖY;9.Kısım Atrium Çarşısı Bodrum Kat No:35 Bakırköy/İSTANBUL;NULL;1998-12-18 00:00:00.000
1085;5190;ÇAYYOLU;BAŞKENT-1           ;6;ANKARA                                            ;A;602;ÇANKAYA;Prof. Dr. Ahmet Taner Kışlalı Mahallesi Alacaatlı Caddesi No:9/3B Çankaya/Ankara;NULL;2010-09-22 00:00:00.000
1090;2405;TOSYA;KARADENİZ           ;37;KASTAMONU                                         ;A;3700;KASTAMONU;Kargı Mah.Cumhuriyet Meydanı No:31/B Tosya/Kastamonu;NULL;2015-04-30 00:00:00.000
1095;4880;ŞARKİKARAAĞAÇ;AKDENİZ             ;32;ISPARTA                                           ;A;3207;ŞARKİKARAAĞAÇ;Ulvikale Mah. Hastane Cad. No:30 Şarkikaraağaç/Isparta;NULL;2008-05-12 00:00:00.000
1105;1105;KÜÇÜKÇEKMECE İNÖNÜ MAHALLESİ;AVRUPA-3            ;34;İSTANBUL                                          ;P;3421;KÜÇÜKÇEKMECE;İnönü Mah. Maslakçeşme Cad. No:205 K.çekmece/İstanbul;14.12.2017 00:00;2012-10-15 00:00:00.000
1110;2500;VAN;GÜNEYDOĞU ANADOLU   ;65;VAN                                               ;A;6500;VAN;Cumhuriyet Cad. No:50-51 Van;NULL;2002-11-05 00:00:00.000
1115;9740;ISPARTA;AKDENİZ             ;32;ISPARTA                                           ;A;3200;MERKEZ;PİRİMEHMET MAH. 113. CD. NO. 14  ISPARTA;NULL;2002-02-02 00:00:00.000
1125;2195;ÇAN;TRAKYA              ;17;ÇANAKKALE                                         ;A;1705;ÇAN;Cumhuriyet Mah. Bülent Ecevit Cad. No:29   Çan / Çanakkale;NULL;2014-03-07 00:00:00.000
1130;5120;GEBZE YENİ ÇARŞI;İSTANBUL ANADOLU    ;41;KOCAELİ                                           ;A;4101;GEBZE;HACI HALİL MAH. İSMETPAŞA CAD. NO:21/1   GEBZE / KOCAELİ;NULL;2010-09-29 00:00:00.000
1135;1135;ESERTEPE;BAŞKENT-1           ;6;ANKARA                                            ;P;603;KEÇİÖREN;Esertepe Mah. 301. Sok. No:8/A-B   Keçiören/Ankara;23.05.2016 00:00;2012-06-13 00:00:00.000
1140;4510;SURDIŞI TİCARİ MERKEZ;AVRUPA-2            ;34;İSTANBUL                                          ;A;3413;ŞİŞLİ;Esentepe Mahallesi Büyükdere Caddesi No:141/4 Şişli/İstanbul;NULL;2008-01-09 00:00:00.000
1145;1145;HOŞDERE;BAŞKENT-1           ;6;ANKARA                                            ;P;602;ÇANKAYA;Aziziye Mahallesi Hosdere Cad. No:171/A Zemin Kat Çankaya/Ankara;23.05.2016 00:00;2012-07-26 00:00:00.000
1150;2645;SAKARYA KAYNARCA;MARMARA             ;54;SAKARYA                                           ;A;5405;KAYNARCA;Konak Mah. Aziz Duran Cad. No:2 Kaynarca/Sakarya;NULL;2015-12-25 00:00:00.000
1155;5510;KAPALIÇARŞI;AVRUPA-1            ;34;İSTANBUL                                          ;A;3408;FATİH;Yağlıkçılar Cad. Perdahçılar Sok. No:60 Kapalıçarşı/Beyazıt/ Fatih/İstanbul;NULL;2010-12-10 00:00:00.000
1160;9230;ETİLER;AVRUPA-1            ;34;İSTANBUL                                          ;A;3403;BEŞİKTAŞ;Etiler Mahallesi Nispetiye Caddesi No:70 Beşiktaş/İstanbul;NULL;1998-09-18 00:00:00.000
1170;9131;OFFSİDE ATM;GENEL MÜDÜRLÜK      ;34;İSTANBUL                                          ;A;3413;ŞİŞLİ;BÜYÜKDERE CD. NO:106 ESENTEPE;NULL;2009-10-02 00:00:00.000
1180;4000;KEMERBURGAZ GÖKTÜRK;AVRUPA-1            ;34;İSTANBUL                                          ;A;3407;EYÜP;Göktürk Merkez Mahallesi İstanbul Caddesi No:7H Eyüpsultan/İstanbul;NULL;2007-05-25 00:00:00.000
1185;1185;GAZİOSMANPAŞA ÇARŞI;AVRUPA-2            ;34;İSTANBUL                                          ;P;3409;GAZİOSMANPAŞA;Bağlarbaşı Mah. Bağlarbaşı Cad. No:76-78/A Gaziosmanpaşa/İstanbul;22.12.2020 00:00;2012-07-16 00:00:00.000
1190;9940;NAZİLLİ;EGE                 ;9;AYDIN                                             ;A;908;NAZİLLİ;Altıntaş Mahallesi Kıbrıs Caddesi No:60 A Nazilli/Aydın;NULL;2002-02-01 00:00:00.000
